Accident_ID,Date,Year,Month,Month_Num,Day_of_Week,State,City,Accident_Severity,Number_of_Casualties,Weather_Condition,Road_Type,Vehicle_Type,Time_of_Day,Is_Fatal
ACC0026,2021-03-14,2021,March,3,Sunday,Telangana,Warangal,High,14,Hazy,Expressway,Bus,Afternoon (10-15),1
ACC0027,2022-08-26,2022,August,8,Friday,Madhya Pradesh,Indore,Low,1,Clear,Urban Road,Bus,Night (19-23),0
ACC0028,2022-08-14,2022,August,8,Sunday,Uttar Pradesh,Lucknow,Low,1,Clear,National Highway,Truck,Afternoon (10-15),0
ACC0029,2021-01-24,2021,January,1,Sunday,Telangana,Karimnagar,Medium,4,Rainy,Rural Road,Truck,Morning (6-10),0
ACC0030,2022-06-26,2022,June,6,Sunday,Telangana,Hyderabad,Medium,6,Clear,National Highway,Car,Afternoon (10-15),0
ACC0031,2020-12-06,2020,December,12,Sunday,Madhya Pradesh,Jabalpur,Low,1,Cloudy,National Highway,Truck,Night (19-23),0
ACC0032,2020-01-05,2020,January,1,Sunday,Madhya Pradesh,Gwalior,Low,2,Cloudy,Service Road,SUV,Late Night (23-6),0
ACC0033,2023-09-17,2023,September,9,Sunday,West Bengal,Howrah,Low,0,Rainy,Expressway,Tempo,Late Night (23-6),0
ACC0034,2020-05-04,2020,May,5,Monday,Gujarat,Ahmedabad,Medium,6,Clear,Expressway,Truck,Morning (6-10),0
ACC0035,2022-11-06,2022,November,11,Sunday,Maharashtra,Pune,Medium,3,Clear,Rural Road,Car,Late Night (23-6),0
ACC0036,2021-05-19,2021,May,5,Wednesday,Bihar,Darbhanga,Medium,5,Clear,Service Road,Auto-Rickshaw,Late Night (23-6),0
ACC0037,2022-12-06,2022,December,12,Tuesday,Gujarat,Vadodara,Medium,4,Rainy,State Highway,Two-Wheeler,Night (19-23),0
ACC0038,2020-09-25,2020,September,9,Friday,Karnataka,Mangaluru,High,6,Foggy,National Highway,Bus,Late Night (23-6),1
ACC0039,2023-02-27,2023,February,2,Monday,Maharashtra,Mumbai,Medium,4,Stormy,State Highway,Two-Wheeler,Morning (6-10),0
ACC0040,2021-05-15,2021,May,5,Saturday,Gujarat,Vadodara,Medium,6,Rainy,Service Road,Two-Wheeler,Late Night (23-6),0
ACC0041,2023-09-01,2023,September,9,Friday,Telangana,Hyderabad,High,9,Hazy,Service Road,Car,Afternoon (10-15),1
ACC0042,2021-06-25,2021,June,6,Friday,Maharashtra,Mumbai,Medium,4,Hazy,Urban Road,Auto-Rickshaw,Afternoon (10-15),0
ACC0043,2021-12-03,2021,December,12,Friday,Rajasthan,Udaipur,Medium,2,Stormy,National Highway,Tempo,Night (19-23),0
ACC0044,2021-07-20,2021,July,7,Tuesday,Uttar Pradesh,Lucknow,High,15,Foggy,Urban Road,Truck,Night (19-23),1
ACC0045,2023-02-03,2023,February,2,Friday,Madhya Pradesh,Ujjain,Low,2,Clear,State Highway,Auto-Rickshaw,Morning (6-10),0
ACC0046,2022-01-26,2022,January,1,Wednesday,Bihar,Darbhanga,Medium,2,Rainy,Urban Road,Two-Wheeler,Morning (6-10),0
ACC0047,2022-01-02,2022,January,1,Sunday,Rajasthan,Jodhpur,Low,2,Hazy,Rural Road,Auto-Rickshaw,Afternoon (10-15),0
ACC0048,2021-04-29,2021,April,4,Thursday,Tamil Nadu,Coimbatore,Low,2,Cloudy,Urban Road,SUV,Night (19-23),0
ACC0049,2023-10-03,2023,October,10,Tuesday,Rajasthan,Udaipur,High,6,Rainy,Rural Road,SUV,Morning (6-10),1
ACC0050,2022-08-21,2022,August,8,Sunday,Rajasthan,Jodhpur,Low,0,Cloudy,State Highway,Car,Afternoon (10-15),0
ACC0051,2022-03-27,2022,March,3,Sunday,Gujarat,Vadodara,High,9,Clear,Urban Road,Tempo,Late Night (23-6),1
ACC0052,2022-03-29,2022,March,3,Tuesday,Telangana,Nizamabad,Low,1,Clear,State Highway,Auto-Rickshaw,Evening (15-19),0
ACC0053,2020-03-19,2020,March,3,Thursday,Maharashtra,Aurangabad,Low,1,Cloudy,Rural Road,Auto-Rickshaw,Late Night (23-6),0
ACC0054,2020-08-24,2020,August,8,Monday,Madhya Pradesh,Ujjain,Low,2,Rainy,Rural Road,Car,Late Night (23-6),0
ACC0055,2023-01-07,2023,January,1,Saturday,Rajasthan,Udaipur,Low,2,Cloudy,Urban Road,Auto-Rickshaw,Evening (15-19),0
ACC0056,2023-09-20,2023,September,9,Wednesday,Maharashtra,Nagpur,Medium,5,Stormy,Urban Road,Bus,Evening (15-19),0
ACC0057,2023-02-09,2023,February,2,Thursday,Tamil Nadu,Coimbatore,Medium,5,Cloudy,Service Road,Tempo,Afternoon (10-15),0
ACC0058,2023-06-14,2023,June,6,Wednesday,Bihar,Bhagalpur,Medium,2,Cloudy,Urban Road,Two-Wheeler,Afternoon (10-15),0
ACC0059,2022-05-30,2022,May,5,Monday,Bihar,Darbhanga,Medium,5,Hazy,Rural Road,Tempo,Afternoon (10-15),0
ACC0060,2022-11-12,2022,November,11,Saturday,West Bengal,Howrah,Low,2,Hazy,Service Road,Tempo,Late Night (23-6),0
ACC0061,2021-11-17,2021,November,11,Wednesday,Maharashtra,Pune,Medium,3,Hazy,State Highway,Car,Morning (6-10),0
ACC0062,2021-05-16,2021,May,5,Sunday,West Bengal,Durgapur,Medium,6,Clear,State Highway,Tempo,Night (19-23),0
ACC0063,2022-10-09,2022,October,10,Sunday,Madhya Pradesh,Indore,Medium,2,Rainy,National Highway,SUV,Night (19-23),0
ACC0064,2021-03-24,2021,March,3,Wednesday,Tamil Nadu,Tiruchirappalli,Low,0,Cloudy,National Highway,Bus,Afternoon (10-15),0
ACC0065,2022-08-09,2022,August,8,Tuesday,Telangana,Khammam,Medium,5,Stormy,Expressway,SUV,Late Night (23-6),0
ACC0066,2022-05-23,2022,May,5,Monday,Telangana,Karimnagar,High,12,Rainy,Rural Road,Two-Wheeler,Afternoon (10-15),1
ACC0067,2023-07-29,2023,July,7,Saturday,Karnataka,Belagavi,Medium,4,Cloudy,Rural Road,Car,Evening (15-19),0
ACC0068,2021-04-25,2021,April,4,Sunday,Karnataka,Hubli,High,6,Foggy,State Highway,Truck,Afternoon (10-15),1
ACC0069,2022-02-23,2022,February,2,Wednesday,Tamil Nadu,Coimbatore,Low,1,Clear,Expressway,Bus,Night (19-23),0
ACC0070,2020-05-07,2020,May,5,Thursday,Rajasthan,Kota,High,14,Cloudy,Service Road,Car,Late Night (23-6),1
ACC0071,2022-02-18,2022,February,2,Friday,West Bengal,Kolkata,Medium,5,Foggy,Rural Road,Auto-Rickshaw,Late Night (23-6),0
ACC0072,2023-05-20,2023,May,5,Saturday,Rajasthan,Kota,Low,1,Rainy,National Highway,Bus,Evening (15-19),0
ACC0073,2023-10-01,2023,October,10,Sunday,Madhya Pradesh,Indore,High,14,Cloudy,Expressway,Car,Night (19-23),1
ACC0074,2023-04-27,2023,April,4,Thursday,Bihar,Patna,Medium,3,Clear,Rural Road,Truck,Morning (6-10),0
ACC0075,2021-06-16,2021,June,6,Wednesday,Madhya Pradesh,Gwalior,Medium,4,Rainy,Rural Road,Two-Wheeler,Night (19-23),0
ACC0076,2021-05-31,2021,May,5,Monday,Maharashtra,Nashik,Medium,2,Clear,Urban Road,Truck,Morning (6-10),0
ACC0077,2023-08-27,2023,August,8,Sunday,Uttar Pradesh,Lucknow,Low,0,Rainy,Expressway,Truck,Afternoon (10-15),0
ACC0078,2020-09-15,2020,September,9,Tuesday,West Bengal,Kolkata,High,12,Stormy,Service Road,Two-Wheeler,Evening (15-19),1
ACC0079,2020-12-09,2020,December,12,Wednesday,Bihar,Darbhanga,High,7,Hazy,Urban Road,Car,Late Night (23-6),1
ACC0080,2020-02-22,2020,February,2,Saturday,Karnataka,Belagavi,High,11,Hazy,Rural Road,Tempo,Afternoon (10-15),1
ACC0081,2020-06-04,2020,June,6,Thursday,Bihar,Gaya,Medium,4,Clear,Service Road,Auto-Rickshaw,Morning (6-10),0
ACC0082,2023-03-05,2023,March,3,Sunday,Uttar Pradesh,Agra,Medium,4,Stormy,National Highway,Auto-Rickshaw,Evening (15-19),0
ACC0083,2020-01-26,2020,January,1,Sunday,Madhya Pradesh,Jabalpur,Low,1,Clear,Service Road,SUV,Night (19-23),0
ACC0084,2023-12-19,2023,December,12,Tuesday,Tamil Nadu,Salem,High,15,Rainy,Urban Road,Auto-Rickshaw,Late Night (23-6),1
ACC0085,2022-09-17,2022,September,9,Saturday,West Bengal,Siliguri,Medium,4,Hazy,State Highway,SUV,Morning (6-10),0
ACC0086,2021-07-25,2021,July,7,Sunday,West Bengal,Howrah,Medium,5,Cloudy,Urban Road,Car,Night (19-23),0
ACC0087,2021-10-27,2021,October,10,Wednesday,Tamil Nadu,Salem,Medium,4,Rainy,Urban Road,Two-Wheeler,Late Night (23-6),0
ACC0088,2023-12-07,2023,December,12,Thursday,Karnataka,Belagavi,Medium,3,Clear,National Highway,Truck,Night (19-23),0
ACC0089,2022-09-27,2022,September,9,Tuesday,Telangana,Warangal,Medium,5,Hazy,Rural Road,SUV,Morning (6-10),0
ACC0090,2020-07-09,2020,July,7,Thursday,Karnataka,Mysuru,Medium,4,Cloudy,Service Road,Auto-Rickshaw,Evening (15-19),0
ACC0091,2022-08-27,2022,August,8,Saturday,Telangana,Khammam,Medium,6,Foggy,Urban Road,Two-Wheeler,Night (19-23),0
ACC0092,2021-07-08,2021,July,7,Thursday,Karnataka,Hubli,Low,0,Rainy,Urban Road,Car,Late Night (23-6),0
ACC0093,2023-11-14,2023,November,11,Tuesday,Tamil Nadu,Coimbatore,High,9,Rainy,Service Road,Auto-Rickshaw,Late Night (23-6),1
ACC0094,2023-05-07,2023,May,5,Sunday,Karnataka,Bengaluru,Low,1,Rainy,State Highway,Two-Wheeler,Morning (6-10),0
ACC0095,2023-12-21,2023,December,12,Thursday,Telangana,Warangal,Low,0,Foggy,Expressway,Two-Wheeler,Afternoon (10-15),0
ACC0096,2023-07-30,2023,July,7,Sunday,West Bengal,Kolkata,Medium,5,Clear,Rural Road,Bus,Evening (15-19),0
ACC0097,2021-01-12,2021,January,1,Tuesday,Uttar Pradesh,Agra,Low,0,Cloudy,Rural Road,Bus,Morning (6-10),0
ACC0098,2023-03-27,2023,March,3,Monday,Uttar Pradesh,Kanpur,High,9,Rainy,National Highway,Truck,Morning (6-10),1
ACC0099,2023-02-16,2023,February,2,Thursday,Madhya Pradesh,Ujjain,High,8,Stormy,Expressway,Bus,Night (19-23),1
ACC0100,2022-06-25,2022,June,6,Saturday,Karnataka,Belagavi,Low,2,Cloudy,National Highway,Auto-Rickshaw,Morning (6-10),0
ACC0101,2021-03-01,2021,March,3,Monday,Rajasthan,Udaipur,Low,0,Hazy,State Highway,Auto-Rickshaw,Morning (6-10),0
ACC0102,2020-11-16,2020,November,11,Monday,Uttar Pradesh,Varanasi,Medium,5,Cloudy,Urban Road,Car,Afternoon (10-15),0
ACC0103,2021-08-13,2021,August,8,Friday,Karnataka,Mangaluru,Medium,4,Clear,Service Road,Auto-Rickshaw,Afternoon (10-15),0
ACC0104,2022-05-20,2022,May,5,Friday,Maharashtra,Aurangabad,Medium,4,Rainy,State Highway,Car,Morning (6-10),0
ACC0105,2020-12-05,2020,December,12,Saturday,Karnataka,Belagavi,High,9,Hazy,Rural Road,Car,Night (19-23),1
ACC0106,2023-11-11,2023,November,11,Saturday,Karnataka,Mangaluru,Medium,5,Foggy,Rural Road,Car,Late Night (23-6),0
ACC0107,2020-03-22,2020,March,3,Sunday,Madhya Pradesh,Gwalior,Medium,2,Stormy,State Highway,Tempo,Late Night (23-6),0
ACC0108,2023-04-17,2023,April,4,Monday,Uttar Pradesh,Agra,Low,0,Stormy,Rural Road,Auto-Rickshaw,Night (19-23),0
ACC0109,2021-07-23,2021,July,7,Friday,Tamil Nadu,Tiruchirappalli,Medium,5,Cloudy,National Highway,Bus,Evening (15-19),0
ACC0110,2022-04-16,2022,April,4,Saturday,Gujarat,Vadodara,Low,0,Hazy,Urban Road,Bus,Night (19-23),0
ACC0111,2021-08-13,2021,August,8,Friday,Madhya Pradesh,Ujjain,Medium,4,Clear,Urban Road,Two-Wheeler,Morning (6-10),0
ACC0112,2022-04-07,2022,April,4,Thursday,Telangana,Hyderabad,High,12,Hazy,Rural Road,Car,Afternoon (10-15),1
ACC0113,2022-11-27,2022,November,11,Sunday,Gujarat,Gandhinagar,Medium,2,Cloudy,State Highway,Two-Wheeler,Late Night (23-6),0
ACC0114,2020-09-25,2020,September,9,Friday,Karnataka,Mangaluru,Medium,2,Hazy,Service Road,Auto-Rickshaw,Afternoon (10-15),0
ACC0115,2023-12-24,2023,December,12,Sunday,Tamil Nadu,Madurai,Low,1,Stormy,National Highway,Truck,Morning (6-10),0
ACC0116,2022-08-03,2022,August,8,Wednesday,Maharashtra,Pune,High,9,Cloudy,Expressway,Tempo,Evening (15-19),1
ACC0117,2022-04-30,2022,April,4,Saturday,West Bengal,Siliguri,Medium,3,Rainy,Rural Road,Truck,Late Night (23-6),0
ACC0118,2022-11-06,2022,November,11,Sunday,Tamil Nadu,Chennai,High,11,Foggy,Urban Road,SUV,Late Night (23-6),1
ACC0119,2021-07-01,2021,July,7,Thursday,Uttar Pradesh,Agra,Medium,6,Hazy,Expressway,Tempo,Night (19-23),0
ACC0120,2020-10-31,2020,October,10,Saturday,West Bengal,Durgapur,Low,2,Cloudy,Expressway,Bus,Night (19-23),0
ACC0121,2021-10-21,2021,October,10,Thursday,Rajasthan,Jodhpur,Medium,5,Stormy,National Highway,Two-Wheeler,Night (19-23),0
ACC0122,2023-12-15,2023,December,12,Friday,Madhya Pradesh,Jabalpur,High,15,Hazy,State Highway,Bus,Morning (6-10),1
ACC0123,2020-09-15,2020,September,9,Tuesday,Telangana,Khammam,High,12,Foggy,National Highway,Auto-Rickshaw,Night (19-23),1
ACC0124,2020-02-01,2020,February,2,Saturday,Tamil Nadu,Salem,High,6,Hazy,Rural Road,SUV,Evening (15-19),1
ACC0125,2021-11-24,2021,November,11,Wednesday,Bihar,Muzaffarpur,Low,1,Hazy,Service Road,SUV,Late Night (23-6),0
ACC0126,2022-02-17,2022,February,2,Thursday,Gujarat,Rajkot,Low,0,Stormy,State Highway,Tempo,Evening (15-19),0
ACC0127,2021-04-10,2021,April,4,Saturday,Maharashtra,Nashik,Medium,2,Clear,Rural Road,Truck,Evening (15-19),0
ACC0128,2020-02-29,2020,February,2,Saturday,Uttar Pradesh,Agra,Low,1,Clear,Rural Road,Truck,Afternoon (10-15),0
ACC0129,2022-12-23,2022,December,12,Friday,Madhya Pradesh,Ujjain,High,7,Hazy,State Highway,Car,Late Night (23-6),1
ACC0130,2022-02-22,2022,February,2,Tuesday,Bihar,Gaya,High,7,Cloudy,State Highway,Bus,Evening (15-19),1
ACC0131,2022-07-30,2022,July,7,Saturday,Karnataka,Bengaluru,High,15,Cloudy,Expressway,Truck,Morning (6-10),1
ACC0132,2022-06-23,2022,June,6,Thursday,Gujarat,Gandhinagar,High,11,Foggy,Service Road,Two-Wheeler,Night (19-23),1
ACC0133,2021-09-10,2021,September,9,Friday,Rajasthan,Kota,Low,1,Cloudy,Expressway,Two-Wheeler,Late Night (23-6),0
ACC0134,2021-08-28,2021,August,8,Saturday,Karnataka,Bengaluru,Medium,2,Hazy,Expressway,SUV,Morning (6-10),0
ACC0135,2023-05-26,2023,May,5,Friday,West Bengal,Asansol,Medium,4,Rainy,State Highway,Tempo,Afternoon (10-15),0
ACC0136,2023-06-25,2023,June,6,Sunday,Karnataka,Mysuru,Low,2,Hazy,Service Road,Car,Evening (15-19),0
ACC0137,2022-06-21,2022,June,6,Tuesday,Uttar Pradesh,Noida,High,6,Foggy,Urban Road,Two-Wheeler,Night (19-23),1
ACC0138,2020-12-25,2020,December,12,Friday,Rajasthan,Jodhpur,High,10,Stormy,Expressway,Auto-Rickshaw,Evening (15-19),1
ACC0139,2020-12-02,2020,December,12,Wednesday,Karnataka,Mangaluru,High,10,Foggy,National Highway,Bus,Morning (6-10),1
ACC0140,2020-10-15,2020,October,10,Thursday,Rajasthan,Kota,Medium,5,Stormy,National Highway,Two-Wheeler,Late Night (23-6),0
ACC0141,2020-09-10,2020,September,9,Thursday,West Bengal,Asansol,High,9,Hazy,Expressway,Bus,Evening (15-19),1
ACC0142,2020-08-09,2020,August,8,Sunday,Rajasthan,Kota,Medium,6,Clear,Urban Road,Auto-Rickshaw,Afternoon (10-15),0
ACC0143,2023-08-19,2023,August,8,Saturday,Maharashtra,Nashik,Medium,5,Hazy,National Highway,Truck,Morning (6-10),0
ACC0144,2020-03-17,2020,March,3,Tuesday,Karnataka,Mangaluru,Low,2,Clear,State Highway,Bus,Night (19-23),0
ACC0145,2022-01-29,2022,January,1,Saturday,Telangana,Karimnagar,High,7,Stormy,Rural Road,Tempo,Morning (6-10),1
ACC0146,2022-09-29,2022,September,9,Thursday,Bihar,Muzaffarpur,Low,1,Foggy,State Highway,Bus,Night (19-23),0
ACC0147,2021-04-28,2021,April,4,Wednesday,Gujarat,Ahmedabad,Medium,4,Hazy,National Highway,Bus,Evening (15-19),0
ACC0148,2021-01-23,2021,January,1,Saturday,Maharashtra,Nashik,Medium,6,Clear,National Highway,Car,Evening (15-19),0
ACC0149,2021-05-13,2021,May,5,Thursday,Tamil Nadu,Tiruchirappalli,Low,2,Rainy,State Highway,Auto-Rickshaw,Afternoon (10-15),0
ACC0150,2021-04-22,2021,April,4,Thursday,Gujarat,Surat,Low,0,Stormy,State Highway,Auto-Rickshaw,Evening (15-19),0
ACC0151,2020-12-23,2020,December,12,Wednesday,Maharashtra,Mumbai,Low,0,Rainy,Expressway,Two-Wheeler,Morning (6-10),0
ACC0152,2020-12-22,2020,December,12,Tuesday,Karnataka,Bengaluru,High,13,Rainy,National Highway,Tempo,Morning (6-10),1
ACC0153,2022-09-02,2022,September,9,Friday,West Bengal,Asansol,High,12,Stormy,Expressway,Truck,Late Night (23-6),1
ACC0154,2020-03-29,2020,March,3,Sunday,Telangana,Nizamabad,Medium,2,Cloudy,National Highway,Bus,Night (19-23),0
ACC0155,2022-05-23,2022,May,5,Monday,Maharashtra,Nashik,High,6,Hazy,National Highway,Two-Wheeler,Late Night (23-6),1
ACC0156,2020-10-30,2020,October,10,Friday,Maharashtra,Pune,High,14,Foggy,Expressway,Tempo,Evening (15-19),1
ACC0157,2022-02-19,2022,February,2,Saturday,Bihar,Darbhanga,Medium,6,Foggy,Rural Road,Car,Morning (6-10),0
ACC0158,2023-09-02,2023,September,9,Saturday,Telangana,Warangal,Medium,3,Cloudy,Rural Road,Two-Wheeler,Night (19-23),0
ACC0159,2022-03-27,2022,March,3,Sunday,Madhya Pradesh,Bhopal,Medium,4,Foggy,Urban Road,Truck,Night (19-23),0
ACC0160,2020-05-17,2020,May,5,Sunday,Maharashtra,Mumbai,Low,2,Clear,Service Road,Two-Wheeler,Afternoon (10-15),0
ACC0161,2023-02-13,2023,February,2,Monday,Uttar Pradesh,Noida,High,15,Stormy,National Highway,Bus,Evening (15-19),1
ACC0162,2023-09-24,2023,September,9,Sunday,Madhya Pradesh,Bhopal,High,10,Foggy,National Highway,Auto-Rickshaw,Late Night (23-6),1
ACC0163,2021-03-11,2021,March,3,Thursday,Tamil Nadu,Salem,High,10,Rainy,Expressway,Two-Wheeler,Morning (6-10),1
ACC0164,2021-07-24,2021,July,7,Saturday,Bihar,Gaya,High,14,Cloudy,Expressway,Tempo,Late Night (23-6),1
ACC0165,2020-02-23,2020,February,2,Sunday,Bihar,Bhagalpur,Low,2,Clear,Urban Road,Two-Wheeler,Evening (15-19),0
ACC0166,2020-01-13,2020,January,1,Monday,Tamil Nadu,Coimbatore,High,6,Stormy,State Highway,Tempo,Morning (6-10),1
ACC0167,2020-07-06,2020,July,7,Monday,Telangana,Warangal,Medium,4,Cloudy,State Highway,Two-Wheeler,Evening (15-19),0
ACC0168,2021-10-26,2021,October,10,Tuesday,Bihar,Darbhanga,High,7,Clear,State Highway,SUV,Late Night (23-6),1
ACC0169,2020-04-11,2020,April,4,Saturday,Maharashtra,Nagpur,Medium,5,Cloudy,Expressway,Bus,Night (19-23),0
ACC0170,2021-07-13,2021,July,7,Tuesday,Rajasthan,Ajmer,Low,0,Clear,Urban Road,Tempo,Late Night (23-6),0
ACC0171,2022-09-23,2022,September,9,Friday,Telangana,Nizamabad,Low,2,Clear,National Highway,Car,Afternoon (10-15),0
ACC0172,2021-09-09,2021,September,9,Thursday,Rajasthan,Jodhpur,Medium,2,Foggy,National Highway,Bus,Night (19-23),0
ACC0173,2020-12-25,2020,December,12,Friday,Tamil Nadu,Salem,High,13,Stormy,Expressway,SUV,Evening (15-19),1
ACC0174,2020-05-27,2020,May,5,Wednesday,Madhya Pradesh,Bhopal,Low,0,Cloudy,Urban Road,Auto-Rickshaw,Night (19-23),0
ACC0175,2023-03-20,2023,March,3,Monday,Madhya Pradesh,Jabalpur,Low,0,Foggy,Urban Road,Truck,Late Night (23-6),0
ACC0176,2022-07-31,2022,July,7,Sunday,Gujarat,Ahmedabad,High,8,Cloudy,Rural Road,Auto-Rickshaw,Night (19-23),1
ACC0177,2022-12-09,2022,December,12,Friday,Maharashtra,Nashik,High,8,Foggy,Urban Road,SUV,Afternoon (10-15),1
ACC0178,2020-06-05,2020,June,6,Friday,Telangana,Hyderabad,High,10,Stormy,Urban Road,Tempo,Afternoon (10-15),1
ACC0179,2021-04-28,2021,April,4,Wednesday,Maharashtra,Pune,Low,2,Foggy,State Highway,SUV,Morning (6-10),0
ACC0180,2020-12-28,2020,December,12,Monday,West Bengal,Siliguri,High,12,Stormy,Service Road,Auto-Rickshaw,Late Night (23-6),1
ACC0181,2021-10-23,2021,October,10,Saturday,Gujarat,Surat,Low,1,Cloudy,Service Road,Two-Wheeler,Evening (15-19),0
ACC0182,2023-04-26,2023,April,4,Wednesday,Uttar Pradesh,Agra,Low,1,Stormy,Rural Road,Car,Morning (6-10),0
ACC0183,2022-01-25,2022,January,1,Tuesday,Karnataka,Bengaluru,High,6,Hazy,Expressway,Auto-Rickshaw,Late Night (23-6),1
ACC0184,2022-02-26,2022,February,2,Saturday,West Bengal,Durgapur,High,5,Stormy,Rural Road,SUV,Late Night (23-6),1
ACC0185,2023-08-27,2023,August,8,Sunday,Rajasthan,Udaipur,Medium,3,Stormy,National Highway,Bus,Morning (6-10),0
ACC0186,2021-12-04,2021,December,12,Saturday,Maharashtra,Aurangabad,Low,0,Hazy,Service Road,Bus,Night (19-23),0
ACC0187,2022-12-09,2022,December,12,Friday,Telangana,Khammam,Medium,4,Rainy,Rural Road,Bus,Evening (15-19),0
ACC0188,2023-10-22,2023,October,10,Sunday,Bihar,Patna,Medium,2,Hazy,Urban Road,Car,Late Night (23-6),0
ACC0189,2023-10-21,2023,October,10,Saturday,Madhya Pradesh,Gwalior,High,15,Foggy,Expressway,SUV,Afternoon (10-15),1
ACC0190,2021-11-13,2021,November,11,Saturday,Maharashtra,Aurangabad,Low,1,Hazy,Urban Road,Tempo,Night (19-23),0
ACC0191,2020-09-21,2020,September,9,Monday,Bihar,Patna,High,15,Foggy,Urban Road,SUV,Afternoon (10-15),1
ACC0192,2023-10-04,2023,October,10,Wednesday,Telangana,Hyderabad,Medium,6,Hazy,Urban Road,Car,Evening (15-19),0
ACC0193,2021-09-24,2021,September,9,Friday,Tamil Nadu,Coimbatore,High,12,Foggy,State Highway,Truck,Afternoon (10-15),1
ACC0194,2020-11-13,2020,November,11,Friday,Maharashtra,Nagpur,Medium,6,Clear,Service Road,Auto-Rickshaw,Morning (6-10),0
ACC0195,2023-09-17,2023,September,9,Sunday,Gujarat,Gandhinagar,Medium,3,Rainy,State Highway,Truck,Late Night (23-6),0
ACC0196,2020-12-05,2020,December,12,Saturday,West Bengal,Kolkata,Low,2,Cloudy,State Highway,Bus,Late Night (23-6),0
ACC0197,2021-08-06,2021,August,8,Friday,West Bengal,Howrah,Medium,5,Stormy,State Highway,Two-Wheeler,Late Night (23-6),0
